OFFENSE_CODE,DISTRICT,SHOOTING,YEAR,MONTH,DAY_OF_WEEK,HOUR,UCR_PART,STREET,DAY,LATITUDE,LONGITUDE,REPORTING_AREA_STR
619,D14,,2018,9,Sunday,13,Part One,LINCOLN ST,2,42.35779134,-71.13937053,808.0
1402,C11,,2018,8,Tuesday,0,Part Two,HECLA ST,21,42.30682138,-71.06030035,347.0
3410,D4,,2018,9,Monday,19,Part Three,CAZENOVE ST,3,42.34658879,-71.07242943,151.0
3114,D4,,2018,9,Monday,21,Part Three,NEWCOMB ST,3,42.33418175,-71.07866441,272.0
3114,B3,,2018,9,Monday,21,Part Three,DELHI ST,3,42.27536542,-71.09036101,421.0
3820,C11,,2018,9,Monday,21,Part Three,TALBOT AVE,3,42.29019621,-71.07159012,398.0
724,B2,,2018,9,Monday,21,Part One,NORMANDY ST,3,42.30607218,-71.0827326,330.0
3301,B2,,2018,9,Monday,20,Part Three,LAWN ST,3,42.32701648,-71.10555088,584.0
301,C6,,2018,9,Monday,20,Part One,MASSACHUSETTS AVE,3,42.33152148,-71.07085307,177.0
3301,C11,,2018,9,Monday,20,Part Three,LESLIE ST,3,42.29514664,-71.05860832,364.0
3301,C6,,2018,9,Monday,19,Part Three,OCEAN VIEW DR,3,42.31957856,-71.04032766,913.0
3114,C6,,2018,9,Monday,20,Part Three,DALESSIO CT,3,42.34011469,-71.05339029,936.0
3108,D4,,2018,9,Monday,19,Part Three,MARLBOROUGH ST,3,42.3503876,-71.0878529,139.0
2647,B3,,2018,9,Monday,20,Part Two,WOODROW AVE,3,42.28647012,-71.08714661,429.0
3201,B3,,2018,9,Sunday,14,Part Three,MULVEY ST,2,42.27924052,-71.09667382,469.0
3006,,,2018,9,Monday,19,Part Three,,3,42.35287456,-71.0738297,nan
3301,C11,,2018,9,Monday,18,Part Three,STONEHURST ST,3,42.30526428,-71.06683755,341.0
3305,D4,,2018,9,Monday,17,Part Three,HUNTINGTON AVE,3,42.34857652,-71.07772012,130.0
2647,B2,,2018,9,Monday,19,Part Two,HORADAN WAY,3,42.33371742,-71.09665806,901.0
614,B2,,2018,9,Sunday,18,Part One,SHIRLEY ST,2,42.3256949,-71.06816778,181.0
3006,,,2018,9,Monday,18,Part Three,WOLCOTT,3,-1.0,-1.0,nan
3801,A1,,2018,9,Monday,18,Part Three,BEACON ST,3,42.35564426,-71.07168077,69.0
3006,B3,,2018,9,Monday,18,Part Three,CAPEN ST,3,42.28340243,-71.0807974,434.0
3803,E5,,2018,9,Monday,18,Part Three,WASHINGTON ST,3,42.27581799,-71.13991259,550.0
522,B2,,2018,9,Monday,18,Part One,ANNUNCIATION RD,3,42.33506218,-71.09316781,911.0
3831,,,2018,9,Monday,18,Part Three,,3,42.28359328,-71.05565683,nan
3006,D4,,2018,9,Monday,18,Part Three,MASSACHUSETTS AVE,3,42.33311189,-71.0727637,172.0
802,C11,,2018,9,Monday,18,Part Two,ANNAPOLIS ST,3,42.31731905,-71.06150882,242.0
