iter	RMSE
0	0.9021330901
1	0.8121692149
2	0.7313735417
3	0.6584602347
4	0.5927349896
5	0.5336227873
6	0.4803334544
7	0.4324336874
8	0.3893450701
9	0.3504408598
10	0.315426404
11	0.2839378667
12	0.2556010845
13	0.2301323623
14	0.2072429116
15	0.1865836749
16	0.1679815231
17	0.1512212262
18	0.1361445524
19	0.1225870361
20	0.1103832452
21	0.09938869052
22	0.08950066561
23	0.08060760733
24	0.07258333987
25	0.06536423435
26	0.05886116962
27	0.05303281771
28	0.04778057816
29	0.04304576966
30	0.0387913576
31	0.03497099475
32	0.03154548845
33	0.02846473123
34	0.02566137097
35	0.02314733637
36	0.02090810959
37	0.01887540142
38	0.01704645025
39	0.01539887832
40	0.01391494283
41	0.01259439181
42	0.01142153939
43	0.01035313436
44	0.009397900773
45	0.008549784896
46	0.007778938209
47	0.007097805176
48	0.006488101176
49	0.005948303513
50	0.005464357564
51	0.005030827926
52	0.004656035141
53	0.004320044977
54	0.004028684929
55	0.003771809394
56	0.003549570413
57	0.00334624072
58	0.003177657115
59	0.003032902571
60	0.002893428449
61	0.002783016124
62	0.002681990065
63	0.002591825109
64	0.002517846195
65	0.002459173735
66	0.002384885167
67	0.002320319751
68	0.00226920424
69	0.002229245126
70	0.00219667051
71	0.002164262899
72	0.002131902279
73	0.002107192198
74	0.002068248571
75	0.002039671589
76	0.002013410822
77	0.001994196998
78	0.001978059807
79	0.001947391308
80	0.001922962587
81	0.001898764545
82	0.001880985269
83	0.001863695712
84	0.001843749301
85	0.001832576963
86	0.001815609093
87	0.001806122984
88	0.001796619772
89	0.001784980226
90	0.001774825457
91	0.00176611021
92	0.001758982056
93	0.001750559449
94	0.001742670466
95	0.001735864407
96	0.001728937194
97	0.001720954071
98	0.001708757824
99	0.001702177073
