iter	Passed	Remaining
0	12	1249
1	19	946
2	25	834
3	33	811
4	41	784
5	49	769
6	56	744
7	63	735
8	70	714
9	76	687
10	83	679
11	92	675
12	104	697
13	112	688
14	120	684
15	128	675
16	136	665
17	142	651
18	150	640
19	157	631
20	166	624
21	175	621
22	185	620
23	196	622
24	212	636
25	233	665
26	239	648
27	248	639
28	256	629
29	263	614
30	270	602
31	279	594
32	288	585
33	297	577
34	305	566
35	313	557
36	321	546
37	329	537
38	336	526
39	345	518
40	352	506
41	360	497
42	367	486
43	374	476
44	382	467
45	390	457
46	397	447
47	404	438
48	412	428
49	419	419
50	427	410
51	434	401
52	443	393
53	450	384
54	458	374
55	464	365
56	471	355
57	479	346
58	486	337
59	493	328
60	501	320
61	508	311
62	517	303
63	525	295
64	532	286
65	540	278
66	548	269
67	555	261
68	563	253
69	571	245
70	579	236
71	587	228
72	595	220
73	602	211
74	612	204
75	620	195
76	628	187
77	636	179
78	644	171
79	651	162
80	659	154
81	667	146
82	676	138
83	684	130
84	693	122
85	699	113
86	709	106
87	716	97
88	724	89
89	731	81
90	741	73
91	747	65
92	756	56
93	764	48
94	771	40
95	780	32
96	787	24
97	795	16
98	803	8
99	811	0
